Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | 65           | 96           | Array        | 0,035100 ms          | 0,036400 ms          | 0,276200 ms          | 0,239800 ms         Lineært søk 1,04 ganger raskere. Med sortering: Lineært søk 7,87 ganger raskere.
1000         | 410          | 648          | Array        | 0,000600 ms          | 0,000100 ms          | 0,101100 ms          | 0,101000 ms         Binært søk 6,00 ganger raskere. Med sortering: Lineært søk 168,50 ganger raskere.
1000         | 508          | 252          | Array        | 0,000700 ms          | 0,000100 ms          | 0,100900 ms          | 0,100800 ms         Binært søk 7,00 ganger raskere. Med sortering: Lineært søk 144,14 ganger raskere.
1000         | Nonexistent  | Nonexistent  | Array        | 0,001300 ms          | 0,000100 ms          | 0,106300 ms          | 0,106200 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 81,77 ganger raskere.
1000         | Nonexistent  | Nonexistent  | Array        | 0,001600 ms          | 0,000100 ms          | 0,163600 ms          | 0,163500 ms         Binært søk 16,00 ganger raskere. Med sortering: Lineært søk 102,25 ganger raskere.
1000         | Nonexistent  | Nonexistent  | Array        | 0,001300 ms          | 0,000100 ms          | 0,115100 ms          | 0,115000 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 88,54 ganger raskere.
10000        | 5025         | 1806         | Array        | 0,006800 ms          | 0,000200 ms          | 1,272200 ms          | 1,272000 ms         Binært søk 34,00 ganger raskere. Med sortering: Lineært søk 187,09 ganger raskere.
10000        | 2723         | 8792         | Array        | 0,003500 ms          | 0,000100 ms          | 1,418300 ms          | 1,418200 ms         Binært søk 35,00 ganger raskere. Med sortering: Lineært søk 405,23 ganger raskere.
10000        | 8733         | 8289         | Array        | 0,010600 ms          | 0,000100 ms          | 1,799900 ms          | 1,799800 ms         Binært søk 106,00 ganger raskere. Med sortering: Lineært søk 169,80 ganger raskere.
10000        | Nonexistent  | Nonexistent  | Array        | 0,015200 ms          | 0,000100 ms          | 1,214600 ms          | 1,214500 ms         Binært søk 152,00 ganger raskere. Med sortering: Lineært søk 79,91 ganger raskere.
10000        | Nonexistent  | Nonexistent  | Array        | 0,018000 ms          | 0,000200 ms          | 1,138900 ms          | 1,138700 ms         Binært søk 90,00 ganger raskere. Med sortering: Lineært søk 63,27 ganger raskere.
10000        | Nonexistent  | Nonexistent  | Array        | 0,012400 ms          | 0,000200 ms          | 1,042500 ms          | 1,042300 ms         Binært søk 62,00 ganger raskere. Med sortering: Lineært søk 84,07 ganger raskere.
100000       | 86184        | 19679        | Array        | 0,104600 ms          | 0,000200 ms          | 16,448800 ms         | 16,448600 ms        Binært søk 523,00 ganger raskere. Med sortering: Lineært søk 157,25 ganger raskere.
100000       | 13625        | 97385        | Array        | 0,016600 ms          | 0,000100 ms          | 16,172500 ms         | 16,172400 ms        Binært søk 166,00 ganger raskere. Med sortering: Lineært søk 974,25 ganger raskere.
100000       | 2302         | 54106        | Array        | 0,004400 ms          | 0,000300 ms          | 17,324500 ms         | 17,324200 ms        Binært søk 14,67 ganger raskere. Med sortering: Lineært søk 3937,39 ganger raskere.
100000       | Nonexistent  | Nonexistent  | Array        | 0,124700 ms          | 0,000200 ms          | 15,689100 ms         | 15,688900 ms        Binært søk 623,50 ganger raskere. Med sortering: Lineært søk 125,81 ganger raskere.
100000       | Nonexistent  | Nonexistent  | Array        | 0,127100 ms          | 0,000200 ms          | 12,400600 ms         | 12,400400 ms        Binært søk 635,50 ganger raskere. Med sortering: Lineært søk 97,57 ganger raskere.
100000       | Nonexistent  | Nonexistent  | Array        | 0,150600 ms          | 0,000200 ms          | 19,130200 ms         | 19,130000 ms        Binært søk 753,00 ganger raskere. Med sortering: Lineært søk 127,03 ganger raskere.
1000000      | 348738       | 17362        | Array        | 0,735600 ms          | 0,000900 ms          | 169,787400 ms        | 169,786500 ms       Binært søk 817,33 ganger raskere. Med sortering: Lineært søk 230,81 ganger raskere.
